order_id,customer_id,region_x,category,product,sales_rep_id,order_date,quantity,unit_price,total_amount,sales_amount,customer_name,age,gender,region_y,join_date,rep_name,region,hire_date
ORD00001,CUST0098,North,Furniture,Bed,EMP061,2022-04-13,4,951.21,3804.84,3804.84,Customer_CUST0098,46,Female,North,2023-08-16,Employee_EMP061,East,2021-01-13
ORD00002,CUST0552,East,Clothing,Shoes,EMP080,2022-04-17,8,602.67,4821.36,4821.36,Customer_CUST0552,38,Male,South,2020-01-02,Employee_EMP080,South,2020-12-11
ORD00003,CUST0940,West,Food,Bread,EMP016,2023-09-07,3,108.98,326.94,326.94,Customer_CUST0940,26,Female,North,2020-05-28,Employee_EMP016,West,2020-10-28
ORD00004,CUST0209,East,Food,Rice,EMP020,2023-04-04,8,340.37,2722.96,2722.96,Customer_CUST0209,42,Male,South,2021-12-11,Employee_EMP020,South,2021-01-18
ORD00005,CUST0308,East,Electronics,Camera,EMP012,2023-10-26,3,30.38,91.14,91.14,Customer_CUST0308,38,Female,West,2023-02-01,Employee_EMP012,North,2022-03-29
ORD00006,CUST0700,East,Electronics,Headphones,EMP009,2022-12-10,6,10.77,64.62,64.62,Customer_CUST0700,52,Female,South,2022-07-31,Employee_EMP009,North,2018-09-19
ORD00007,CUST0660,North,Sports,Shoes,EMP001,2022-10-04,1,311.2,311.2,311.2,Customer_CUST0660,46,Female,West,2021-07-21,Employee_EMP001,South,2024-02-07
ORD00008,CUST0311,South,Food,Bread,EMP081,2022-01-22,9,298.32,2684.88,2684.88,Customer_CUST0311,23,Female,West,2022-11-03,Employee_EMP081,North,2018-11-25
ORD00009,CUST0617,North,Sports,Bat,EMP008,2022-02-28,3,388.64,1165.92,1165.92,Customer_CUST0617,22,Male,North,2023-09-09,Employee_EMP008,North,2023-11-16
ORD00010,CUST0402,East,Clothing,Shoes,EMP006,2022-09-01,9,55.99,503.91,503.91,Customer_CUST0402,25,Female,North,2020-09-04,Employee_EMP006,West,2023-04-29
ORD00011,CUST0564,North,Furniture,Cupboard,EMP060,2023-10-09,5,455.99,2279.95,2279.95,Customer_CUST0564,54,Female,North,2021-08-17,Employee_EMP060,East,2018-03-15
ORD00012,CUST0877,North,Food,Juice,EMP069,2022-10-01,4,942.78,3771.12,3771.12,Customer_CUST0877,52,Female,East,2023-12-10,Employee_EMP069,West,2023-02-01
ORD00013,CUST0926,East,Furniture,Cupboard,EMP037,2022-01-14,2,391.56,783.12,783.12,Customer_CUST0926,37,Female,West,2024-01-31,Employee_EMP037,North,2024-03-29
ORD00014,CUST0332,West,Electronics,Headphones,EMP082,2022-12-12,5,238.58,1192.9,1192.9,Customer_CUST0332,62,Male,East,2022-02-10,Employee_EMP082,East,2023-11-16
ORD00015,CUST0265,East,Furniture,Sofa,EMP045,2022-04-02,7,613.9,4297.3,4297.3,Customer_CUST0265,56,Female,East,2020-06-19,Employee_EMP045,East,2021-09-05
ORD00016,CUST0774,West,Electronics,Headphones,EMP046,2022-02-04,1,266.19,266.19,266.19,Customer_CUST0774,63,Female,West,2020-08-07,Employee_EMP046,South,2019-11-06
ORD00017,CUST0452,East,Food,Rice,EMP046,2023-01-23,2,430.9,861.8,861.8,Customer_CUST0452,60,Male,South,2020-10-31,Employee_EMP046,South,2019-11-06
ORD00018,CUST0061,West,Sports,Gloves,EMP076,2023-07-20,4,193.01,772.04,772.04,Customer_CUST0061,54,Male,South,2021-08-05,Employee_EMP076,East,2020-05-28
ORD00019,CUST0860,North,Clothing,Shirt,EMP014,2023-12-04,2,777.38,1554.76,1554.76,Customer_CUST0860,41,Female,North,2021-11-08,Employee_EMP014,East,2024-04-25
ORD00020,CUST0571,East,Sports,Shoes,EMP008,2022-06-11,4,601.92,2407.68,2407.68,Customer_CUST0571,19,Male,West,2022-04-26,Employee_EMP008,North,2023-11-16
